,gat,tgn
Accuracy,0.7668155656730521,0.838609226011511
Precision,0.29461903832389874,0.37641478029294273
Recall,0.9962596259625962,0.9951595159515951
F1 Score,0.45475544842824145,0.5462230541633959
AUC,0.9849211725713376,0.9882369233615333
AUPRC,0.8939355698000113,0.9059269310857113
